文件名称,问题,答案,打分1-10
GBT+12926-2025船舶工艺术语 船舶建造质量检验（国标）.csv,在中英混用的检验沟通中，验船师说：“Please arrange the effectiveness test of low duty compressor for LNG system.” 这里对应的中文术语是什么？该试验主要是做什么的？,对应的中文术语是“低负荷(LD)压缩机效用试验”。该试验是用于验证LNG 低负荷(LD)压缩机达到设计要求及使用要求的试验，注:包括压缩效率、进气压力、排气压力等。,
GBT+12926-2025船舶工艺术语 船舶建造质量检验（国标）.csv,请精准解释船舶检验术语“拖曳设备试验”，并给出其标准英文名称。,“拖曳设备试验”的标准英文名称为 effectiveness test of towing equipment。其定义是：检查拖曳设备放缆、收缆、排缆与拖带能力的试验。,
GBT+12926-2025船舶工艺术语 船舶建造质量检验（国标）.csv,请精准解释船舶/验船术语“压缩机效用试验”，并给出其标准英文名称。,“压缩机效用试验”的英文术语是 function test of BOG rotary screw compressor。其定义是：验证蒸发气(BOG)压缩机达到设计要求及使用要求而进行的试验。,
GBT+12926-2025船舶工艺术语 船舶建造质量检验（国标）.csv,请精准解释船舶检验术语“轴支架投落试验”，并给出其标准英文名称。,“轴支架投落试验”的标准英文名称是 drop test for shaft bracket。其定义是：为查明轴支架铸件的质量是否符合要求按规定的高度进行自由落体跌落的试验。,
GBT+12926-2025船舶工艺术语 船舶建造质量检验（国标）.csv,在中英混用的验船沟通中，若验船师要求开展 inspection of shell expansion，具体是指检查什么？,inspection of shell expansion 是指“外板展开检验”，即对已展开的船体外壳板几何形状和尺寸的检验。,
GBT+12926-2025船舶工艺术语 船舶建造质量检验（国标）.csv,请精准解释船舶/验船术语“制冷系统气密试验”，并给出其标准英文名称。,"“制冷系统气密试验”的标准英文名称是“airtight test for refrigerant piping systems”。其定义是：制冷系统安装完毕以后,用一定压力的气体检验其气密性的试验。注:试验的介质常为氮气、二氧化碳或干燥的空气。",
GBT+12926-2025船舶工艺术语 船舶建造质量检验（国标）.csv,在中英混用沟通中，船厂想表达“这份交验验收通知书已经提交，请船东和/或验船部门安排检验”，其中“交验验收通知书”应对应哪个英文术语？,"这里“交验验收通知书”应对应 request for inspection。根据定义，它是船舶建造过程中,属于报验范围的某一工序或试验项目经船厂检验部门检验合格,由船厂检验部门 提请船东和/或验船部门检验的申请书。",
GBT+12926-2025船舶工艺术语 船舶建造质量检验（国标）.csv,如果一项试验是用于测定发电机组瞬态电压变化率，并考核机组在负载突变时的动态电压变化性能，这对应什么术语？,这对应的术语是“发电机组动态特性试验”，英文为 dynamic characteristic test for generator set。,
GBT+12926-2025船舶工艺术语 船舶建造质量检验（国标）.csv,请解释船舶专业术语“检验样箱”的含义，并给出其标准英文名称。,“检验样箱”的英文术语是 mock-ups for inspection。其定义是：校核锚穴、锚链筒等复杂曲板设计与放样作业的工具。,
GBT+12926-2025船舶工艺术语 船舶建造质量检验（国标）.csv,请精准解释船舶建造检验中的“交验验收通知书”，并给出其标准英文名称。,"“交验验收通知书”的英文术语是 request for inspection。其定义是：船舶建造过程中,属于报验范围的某一工序或试验项目经船厂检验部门检验合格,由船厂检验部门 提请船东和/或验船部门检验的申请书。",
GBT+12926-2025船舶工艺术语 船舶建造质量检验（国标）.csv,验船沟通中，船厂说：“We have completed the emergency steering test.” 这里“emergency steering test”对应的中文术语是什么？它具体检查什么？,"“emergency steering test”对应的中文术语是“应急操舵试验”。它是检查在紧急情况下,应急操舵的方便性、可靠性和响应情况的试验。",
GBT+7727-2025 船舶通用术语（国标）.csv,有一个量被定义为“相对船舶重心的重量惯性矩与其重量之比的平方根”，请问对应的中文术语和英文术语分别是什么？,对应的中文术语是“惯性半径”，英文术语是“radius of gyration”。,
GBT+7727-2025 船舶通用术语（国标）.csv,请准确解释船舶/验船术语“包铂阳极”，并给出其标准英文名称。,“包铂阳极”的英文术语是 platinumcladanode。其定义是：在钛、铌或钽等表面包有铂箔的一种不溶性辅助阳极。,
GBT+7727-2025 船舶通用术语（国标）.csv,区分“外板（shellplating）”和“舷侧外板（sideplate）”：二者定义有何不同？,外板（shellplating）是构成船体底部、舭部及船侧外壳的板；舷侧外板（sideplate）是舭部板以上组成船体外壳板舷侧部分的船体外壳板。,
GBT+7727-2025 船舶通用术语（国标）.csv,请区分“单体船”和“单壳体船”这两个术语。,“单体船”对应英文 mono-hull ship，定义是：只具有一个船体的船。“单壳体船”对应英文 mono-skin ship，定义是：主船体为单层壳体的船。两者分别描述船体数量和主船体壳体层次。,
GBT+7727-2025 船舶通用术语（国标）.csv,请解释船舶专业术语“舱底水系统”的含义，并给出其英文术语。,“舱底水系统”的英文术语是 bilgesystem。其定义为：将舱底积水和意外进水排除的系统。注：由泵、附件及管路等组成。,
GBT+7727-2025 船舶通用术语（国标）.csv,如果某术语表示“舵剖面最大厚度与舵宽的比值”，它对应的中文术语和英文术语是什么？,对应的中文术语是“舵厚度比”，英文术语是 thickness ratio of rudder。,
GBT+7727-2025 船舶通用术语（国标）.csv,在中英混用的检验沟通中，如何表述“操舵装置”的标准英文名称及其功能？,"可表述为：steeringgear；它是含舵机驱动装置和转舵机构等,按照操舵控制系统的舵令要求,将电能转换成转舵机械能的一套 装置。",
GBT+7727-2025 船舶通用术语（国标）.csv,请解释船舶专业术语“外加电流阴极保护”的含义，并提供其标准英文名称。,“外加电流阴极保护”的英文标准表述为 impressedcurrentcathodicprotection。其专业定义是：由外部电源提供保护电流的阴极保护。,
GBT+7727-2025 船舶通用术语（国标）.csv,请区分“电脑桌（computertable）”和“餐桌（dining-table）”。,电脑桌（computertable）是用以存放电脑的桌子；餐桌（dining-table）是专供吃饭用的桌子。,
GBT+7727-2025 船舶通用术语（国标）.csv,请区分“艏向”和“航迹角”的定义差异。,艏向（heading）是船舶或船模的艏艉线在水平面上的投影朝向船首的方向；航迹角（track angle）是船舶在水平面内运动时，其重心的瞬时速度矢量与基准方向之间的水平夹角。,
GBT+7727-2025 船舶通用术语（国标）.csv,请解释船舶专业术语“风暴钩”的含义，并给出其标准英文名称。,"“风暴钩”的英文术语是 stormhook。其定义是：船舶航行时为防止椅、茶几等活动家具的移动和倾倒,在其底板下加装与甲板联固的金属链条和 挂钩。",
GBT+7727-2025 船舶通用术语（国标）.csv,在海洋环境中，由生物噪声、热噪声、地震噪声等自然噪声与工业噪声等叠加形成的噪声场，对应的中文术语是什么？,对应的中文术语是海洋噪声场，英文为 ocean acoustic field。,
GBT+7727-2025 船舶通用术语（国标）.csv,请精准解释船舶术语“面板”，并给出其标准英文名称。,"“面板”的英文术语是 face plate。其定义为：与腹板自由边正交,沿构件方向延伸的板。",
GBT+7727-2025 船舶通用术语（国标）.csv,"哪一种涂装方法是用压缩空气通过喷枪将涂料喷成雾状,涂覆在结构表面的？请写出中文术语和英文术语。",该方法是“压缩空气喷涂”，英文为 compressedairspraying。,
GBT+7727-2025 船舶通用术语（国标）.csv,请解释船舶专业术语“压载水系统”的含义，并提供其标准英文名称。,"“压载水系统”的英文标准表述为 waterballastsystem。其定义是：用水作为压载物,可对船舶之吃水、纵倾或横倾进行调整的系统。注:由泵、附件及管路等组成。",
GBT+7727-2025 船舶通用术语（国标）.csv,请解释船舶专业术语“空船重量分布”的含义，并给出其标准英文术语。,“空船重量分布”的英文术语是 lightweightdistribution。其定义是：空船重量沿船长方向的分布。,
GBT+7727-2025 船舶通用术语（国标）.csv,请解释船舶专业术语“船体水平弯曲强度”的含义，并提供其标准英文名称。,“船体水平弯曲强度”的英文标准表述为 hullhorizontalbendingstrength。其定义是：船体抵抗水平弯曲的能力。,
GBT+7727-2025 船舶通用术语（国标）.csv,在船舶检验沟通中，如何用中英双语表述“船用医疗设备”？,可表述为：船用医疗设备，marinemedicalapparatus。,
GBT+7727-2025 船舶通用术语（国标）.csv,在英文沟通中，如何用术语 seaice 准确表达“海冰”？,可直接用 seaice 表达“海冰”；其定义为海水温度降低至冻结点以下而固化的晶体结构物或海绵状结构物。,
GBT+7727-2025 船舶通用术语（国标）.csv,“长艏楼船（long forecastle ship）”与“长艉楼船（long poop ship）”有什么区别？,长艏楼船（long forecastle ship）是艏楼长度大于0.15倍船长，且不小于艏楼高度6倍的船；长艉楼船（long poop ship）是艉楼长度大于0.15倍船长，且不小于艉楼高度6倍的船。,
GBT+7727-2025 船舶通用术语（国标）.csv,请解释船舶专业术语“垂直桁”的含义，并提供其标准英文名称。,“垂直桁”的英文标准表述为 verticalgirder。其专业定义是：用来支持水平布置的扶强材或甲板纵桁的垂向布置的桁材。,
GBT+7727-2025 船舶通用术语（国标）.csv,“航向自动稳定性”和“航向控制稳定性”有什么区别？,"“航向自动稳定性”是指船舶作直线航行时,受到风浪流等外界小扰动作用而偏离航向,当此扰动力去除后,船舶能够自动 回到原来的航向的性能；“航向控制稳定性”是指船舶作直线航行时,受到风浪流等外界小扰动作用而偏离航向,当此扰动力去除后,船舶通过不断 操舵或自动驾驶能够保持航向的性能。",
GBT+7727-2025 船舶通用术语（国标）.csv,在检验沟通中，若需要表达“艇”，应如何用中英混合方式说明其定义？,可说：该“艇”对应“boat;craft”，即满载排水量500t及以下的船舶。,
GBT+7727-2025 船舶通用术语（国标）.csv,在检验沟通中，若验船师说“这里需要关注 fatiguestrength”，中文应如何准确表达？具体指什么？,应准确表达为“疲劳强度”。具体指结构在交变载荷作用下不会产生破坏的能力。,
GBT+7727-2025 船舶通用术语（国标）.csv,请区分“镜面箱”和“卫生单元”这两个术语。,"“镜面箱”的英文是 toiletcabinet，定义为：安装在卫生间内,箱体或门板外表面装有镜子的箱柜。""卫生单元”的英文是 sanitaryunit，定义为：具有必要的卫生设备和壁板、天花板等组装而成,能整体安装的卫生舱室。两者区别在于：前者是箱柜，后者是能整体安装的卫生舱室。",
GBT+7727-2025 船舶通用术语（国标）.csv,请精准解释船舶术语“安全标志”，并给出其英文术语。,"“安全标志”的英文术语是 safetysigns。其定义是：当船舶发生火警或海损时,指引乘员逃生的指示标志。",
GBT+7727-2025 船舶通用术语（国标）.csv,请区分 cantframe 和 webframe。,"cantframe 是斜肋骨，不与船体横剖面平行,而作扇形布置的肋骨；webframe 是强肋骨，用于局部加强或支持船侧纵骨的加大尺寸的肋骨，通常由腹板与面板组成。",
GBT+7727-2025 船舶通用术语（国标）.csv,如果一艘船舶出现船体中部向下垂、艏艉两端上翘的弯曲状态，应对应哪个术语？,对应术语是中垂，英文为 sagging。,
GBT+7727-2025 船舶通用术语（国标）.csv,请区分“船侧纵骨”和“船侧纵桁”，并说明它们各自的定义。,"“船侧纵骨”的英文是 sidelongitudinal，定义是船侧外板上的纵骨；“船侧纵桁”的英文是 sidestringer，定义是与肋骨相交并连接的,船侧外板上的纵向桁材。",
GBT+7727-2025 船舶通用术语（国标）.csv,在油船结构中，若某构件位于油船横舱壁之间的甲板下面，且为横向的大型桁材，这个构件最可能对应哪个术语？,最可能对应“甲板横桁（decktransverse）”。,
GBT+7727-2025 船舶通用术语（国标）.csv,哪一种船(艇)是指“用玻璃纤维增强塑料(玻璃钢)作为船体结构主要材料的船(艇)”？,玻璃钢船(艇)，英文为“fiberglass reinforced plastic ship(boat)”。,
GBT+7727-2025 船舶通用术语（国标）.csv,“护舷材”和“舷伸甲板”有什么区别？,"“护舷材”的英文是 fender，定义为装设在船侧满载水线以上,突出于甲板边缘外侧,用以保护船侧的结构；“舷伸甲板”的英文是 sponsondeck，定义为内河客货船在水面以上,伸出船舷以外的甲板。",
GBT+7727-2025 船舶通用术语（国标）.csv,在船舶验船语境中，哪个术语指的是“吊杆装置、货物起重机、货物升降机和客用电梯等设备的统称”？,对应术语是 客货转运系统，英文为 passengerandcargotransfersystem。,
GBT+7727-2025 船舶通用术语（国标）.csv,如果一项试验是用涂层试板作阴极进行恒电位试验，目的是确定给定电位下开始起泡的时间和程度或涂层不出现起泡、破裂的最负电位，这对应哪个术语？,对应术语是涂层耐阴极电位试验，英文为 cathodicpotentialresistancetestofcoating。,
GBT+7727-2025 船舶通用术语（国标）.csv,在船舶现场沟通中，如果验船师说“请确认 marinewaterboiler 的用途”，这里所指的中文术语是什么？它的定义是什么？,这里所指的中文术语是“船用开水器”。其定义是：船上用于烧开水的设备。,
GBT+7727-2025 船舶通用术语（国标）.csv,请解释船舶专业术语“养殖船”的含义，并提供其标准英文名称。,“养殖船”的英文术语是 aquaculture ship。其定义是：用于渔业养殖活动的船舶。,
GBT+7727-2025 船舶通用术语（国标）.csv,“喷镀锌”和“喷镀锌-铝合金”有什么区别？,“喷镀锌”是用喷镀工艺在结构件表面镀覆一层金属锌；“喷镀锌-铝合金”是用喷镀工艺在结构件表面镀覆一层锌-铝合金。,
GBT+7727-2025 船舶通用术语（国标）.csv,有一项结构处理措施，特点是“针对航行于冰区的船舶”且属于“局部结构加强”，这对应的术语是什么？英文怎么说？,对应术语是“冰区加强”，英文是 strengthening for navigation in ice。,
GBT+7727-2025 船舶通用术语（国标）.csv,在结构布置中，哪一种桁材是“用来支持竖向扶强材的水平布置的桁材”？,这是水平桁，英文为 horizontalgirder。,
GBT+7727-2025 船舶通用术语（国标）.csv,请解释船舶专业术语“撑材”的含义，并提供其标准英文名称。,“撑材”的英文标准表述为 strut。其专业定义是：连接纵向舱壁或连接纵舱壁和双舷侧结构且用以抵抗静载荷和动载荷的大的横向结构构件。,
GBT+7727-2025 船舶通用术语（国标）.csv,请精准解释船舶专业术语“波浪中平均转矩增值”，并给出其标准英文名称。,"“波浪中平均转矩增值”的英文术语是 mean increase of propeller torque in wave。其定义为：为维持船舶在波浪中与静水中相同的航速,而使螺旋桨转矩增加的平均值。",
GBT+7727-2025 船舶通用术语（国标）.csv,有一种船上设备，主要用于垂直运送货物、食品等物资。根据这一定义，应对应哪个术语及其英文名称？,该术语是“货物升降机”，英文名称是 freightlift。,
GBT+7727-2025 船舶通用术语（国标）.csv,主操舵装置与应急操舵装置有什么区别？,"主操舵装置是“在正常航行情況下,为驾驶船舶而使舵产生动作所必需的机械、转舵机构、舵机驱动装置(如设有), 以及其附属设备和向舵杆施加转矩的部件”；应急操舵装置是“在主操舵装置失效时,为驾驶船舶所必需的装置”。",
GBT+7727-2025 船舶通用术语（国标）.csv,请解释船舶专业术语“浴缸”的含义，并提供其标准英文名称。,“浴缸”的英文术语是 bathtub。其定义是：供船员淋浴或洗浴用的设备。,
GBT+7727-2025 船舶通用术语（国标）.csv,“航迹角”和“漂角”有什么区别？,"“航迹角”是船舶在水平面内运动,其重心的瞬时速度矢量与基准方向之间的水平夹角；“漂角”是船舶在水平面内运动,其艏向与重心处的速度矢量间的水平夹角。",
GBT+7727-2025 船舶通用术语（国标）.csv,请解释船舶专业术语“螺旋桨噪声”的含义，并提供其标准英文名称。,"“螺旋桨噪声”的英文标准表述为 noise of propeller。其定义是：当螺旋桨做旋转运动时,在桨叶表面附近形成涡流所产生的噪声。",
GBT+7727-2025 船舶通用术语（国标）.csv,请准确解释船舶专业术语“系泊和拖曳系统”，并给出其标准英文名称。,“系泊和拖曳系统”的标准英文名称是 mooringandtowingsystem。其定义是：用于船舶停靠、固定以及船舶之间或船舶与其他物体之间牵引移动的装置和相关设施的系统。,
GBT+7727-2025 船舶通用术语（国标）.csv,“海水长尺腐蚀试验”与“海水干湿交替腐蚀试验”有什么区别？,"“海水长尺腐蚀试验”英文是 longscalecorrosiontestinseawater，定义为：利用长串电连接材料及构件组成的长尺试验样品,研究多区带海洋环境对其整体腐蚀行为影响的 试验方法。 “海水干湿交替腐蚀试验”英文是 alternatingdryandwettestwithseawater，定义为：材料在海水干湿交替环境下暴露一定时间,以检测其耐蚀性能的试验。 注:海水干湿交替环境包括潮汐区、飞溅区或其他模拟环境。两者区别在于：前者强调利用长串电连接的长尺试验样品，研究多区带海洋环境对整体腐蚀行为的影响；后者强调材料在海水干湿交替环境下暴露一定时间，以检测其耐蚀性能。",
GBT+7727-2025 船舶通用术语（国标）.csv,在验船沟通中，如果需要用中英双语说明“固定在船体上并支撑舵杆的轴承”，应如何表述？,可表述为：舵承，ruddercarrier。,
GBT+7727-2025 船舶通用术语（国标）.csv,验船沟通中，现场有人说：“Please confirm the freeboard at midship according to the Load Line rules.” 这里的 freeboard 用中文应如何准确表达？其定义是什么？,"这里的 freeboard 应准确表达为“干舷”。其定义是：按载重线规范,在船长中点处,自该规范的甲板线上边缘量至有关载重水线之间的垂直距离。",
GBT+7727-2025 船舶通用术语（国标）.csv,请区分“锅炉鼓风系统”和“锅炉排气系统”的定义差异。,“锅炉鼓风系统”是供给锅炉然烧用增压空气的系统；“锅炉排气系统”是为船舶锅炉设备排除工作时产生的废气的系统。,
GBT+7727-2025 船舶通用术语（国标）.csv,在中英混用的技术沟通中，如何用规范表述说明“X-Y plot carriage”的用途？,"X-Y plot carriage 即“坐标定位拖车”，是由主副拖车组成可调整被拖船模的纵向、横向运动,按规定的平面轨迹运动,以测定作用在其上的 水动力和力矩的船模试验设备。",
GBT+7727-2025 船舶通用术语（国标）.csv,在船舶检验沟通中，如何用中英混合方式表达“长峰波”？,可直接表述为：长峰波（long crested waves）。,
GBT+7727-2025 船舶通用术语（国标）.csv,请在检验沟通中将“全船供水系统”用英文表达出来：该系统用于船上生活用水的供给。,可表达为 domesticwatersupplysystem。其含义是船上生活用水的供给系统。,
GBT+7727-2025 船舶通用术语（国标）.csv,请区分“闭门器”和“门碰柱”的用途。,“闭门器”是安装于门扇顶上，使门扇在开启后能自动关闭，并有缓冲功能的装置；“门碰柱”是防止门开启时引起碰撞而安装的避碰装置。,
GBT+7727-2025 船舶通用术语（国标）.csv,"哪一个术语的定义是“牺牲阳极使用到不足提供被保护结构所必需的电流时,阳极消耗质量与阳极原质量之比”？请给出中文术语和英文术语。",该术语是“牺牲阳极利用效率”，英文为 utilizationcoefficientforsacrificialanode。,
GBT+7727-2025 船舶通用术语（国标）.csv,船舶检验沟通中，如何用中英混合方式说明“表面预处理”？,可表述为：表面预处理（surfacepreparation），即在涂装之前用机械方法或化学方法处理基体表面，以改善涂层与基体间的结合力和防蚀效果。,
GBT+7727-2025 船舶通用术语（国标）.csv,“傅汝德-克雷洛夫假定”和“傅汝德数”有什么区别？请分别说明其定义。,"“傅汝德-克雷洛夫假定”是关于船体的存在,不改变波浪下流体动压力分布特征的假定；“傅汝德数”是表示惯性力与重力量级的比值。",
GBT+7727-2025 船舶通用术语（国标）.csv,请区分“舭肘板”和“艉肋板”，分别给出它们的英文术语和定义差异。,"“舭肘板”的英文术语是 tanksidebracket;holdframebracket，定义为：连接各种肋板与各种底舱肋骨的舭部大肘板。""艉肋板”的英文术语是 transomfloor，定义为：船尾的最后一道肋板。斜肋骨和艉柱都与艉肋板连接。二者差异在于：前者是舭部大肘板，用于连接各种肋板与各种底舱肋骨；后者是船尾的最后一道肋板，并与斜肋骨和艉柱连接。",
GBT+7727-2025 船舶通用术语（国标）.csv,某构件中，骨材穿过强构件板或纵向骨材穿过横向腹板时，对所开洞口采用一块板进行部分或完全封闭。根据这一特征，应识别为哪个术语？,应识别为“补板”，英文术语是 collar plate。因为其定义就是：用以部分或完全封闭骨材穿过强构件板(如强框、舱壁或平台等)所开洞口的板用以部分或完全闭 合纵向骨材穿过横向腹板所开洞口的补板。,
GBT+7727-2025 船舶通用术语（国标）.csv,"哪一个术语的定义是“波浪中的压力场与船体存在无关,对船体产生的流体动力。”？请给出中文术语和英文术语。",中文术语是波浪主干扰力，英文术语是 Froude-Kryloff force。,
GBT+7727-2025 船舶通用术语（国标）.csv,请解释船舶专业术语“操纵特性曲线”的含义，并提供其标准英文名称。,"“操纵特性曲线”的英文标准表述为 maneuvering characteristics。其定义是：以舵角为横坐标,船舶稳定回转角速度为纵坐标所标绘成的关系曲线。",
副本【0521备注版】垂域模型数据集样例.xlsx,RNR 是什么意思？,RNR 指的是罗马尼亚船舶登记局，英文名称是 Romanian Register of Shipping。它是罗马尼亚船舶检验和登记机构，主要提供船舶入级、技术审查、法定检验及相关认证服务，业务对象包括海船、内河船舶、船用设备以及与航运安全相关的技术项目。,
副本【0521备注版】垂域模型数据集样例.xlsx,英文全称 Nippon Kaiji Kyokai 是什么？,Nippon Kaiji Kyokai 是日本验船协会的英文全称，简称 NK。日本验船协会（ClassNK/NK）是日本主要船级社，总部位于东京。该机构为商船、海工结构物、船用设备和相关工业产品提供入级、法定检验、认证及技术规则服务，在亚洲造船和航运市场应用广泛。,
船舶基础信息代码及分类.xlsx,teus_des是什么意思？,teus_des表示设计集装箱数，属于船舶重量容积。,
船舶基础信息代码及分类.xlsx,offno是什么意思？,offno表示注册编号，属于船舶身份识别（包括船型）。,
船舶基础信息代码及分类.xlsx,eec_name属于哪个类别？,eec_name属于船舶身份识别（包括船型）。,
船舶基础信息代码及分类.xlsx,doc_name是什么意思？,doc_name表示DOC管理公司，属于船舶身份识别（包括船型）。,
船舶基础信息代码及分类.xlsx,commisioning_d是什么意思？,commisioning_d表示开工日期，属于营运管理属性。,
船舶基础信息代码及分类.xlsx,builder_code属于哪个类别？,builder_code属于船舶身份识别（包括船型）。,
船舶基础信息代码及分类.xlsx,原中文名称的代码是啥？,原中文名称对应字段代码是pcspname。,
船舶基础信息代码及分类.xlsx,bnet属于哪个类别？,bnet属于船舶重量容积。,
船舶基础信息代码及分类.xlsx,注册船东的代码是啥？,注册船东对应字段代码是owner_name。,
船舶基础信息代码及分类.xlsx,船员人数的代码是啥？,船员人数对应字段代码是crews。,
船舶基础信息代码及分类.xlsx,other_classno属于哪个类别？,other_classno属于船舶身份识别（包括船型）。,
船舶基础信息代码及分类.xlsx,doublehull_ct属于哪个类别？,doublehull_ct属于船舶主尺度。,
船舶基础信息代码及分类.xlsx,ISM船型的代码是啥？,ISM船型对应字段代码是sptype_ism。,
船舶基础信息代码及分类.xlsx,巴拿马运河净吨的代码是啥？,巴拿马运河净吨对应字段代码是bnet。,
船舶基础信息代码及分类.xlsx,Location of CMSA Electronic ID label的代码是啥？,Location of CMSA Electronic ID label对应字段代码是dzbqwz。,
船舶基础信息代码及分类.xlsx,delivery_c属于哪个类别？,delivery_c属于营运管理属性。,
船舶基础信息代码及分类.xlsx,spname属于哪个类别？,spname属于船舶身份识别（包括船型）。,
船舶基础信息代码及分类.xlsx,载重线船长的代码是啥？,载重线船长对应字段代码是length_ll。,
船舶基础信息代码及分类.xlsx,下水日期的代码是啥？,下水日期对应字段代码是lauch。,
船舶基础信息代码及分类.xlsx,convertclass是什么意思？,convertclass表示重大改建船级社，属于营运管理属性。,
